"","X","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEAN","MODE","MEDIAN"
"129",129,"Akt3",0.0459597350913436,0.751883099822318,1416.96084186945,0.4585795866661,0.58,28.8135593220339,17,59,"Pyramidal",138.649493270844,2.42295204711959,0
"130",130,"Aldoa",0.0756465381801877,0.83028637017695,2933.25283328889,0.933280614151587,0.995,69.4915254237288,41,59,"Pyramidal",406.164299283471,52.0255083894814,13.9683941777878
"131",131,"Alg2",0.0622346777497814,4.90083629990453,153.899260328914,1.24622656289927,0.385,23.728813559322,14,59,"Pyramidal",9.87405744919093,1.21521262386213,0
"132",132,"Alkbh5",0.014773451635882,1.32218007141743,1285.53910721244,2.31285770029514,0.658,42.3728813559322,25,59,"Pyramidal",145.580786644332,1.05694487949164,0
"133",133,"Alpk3",0.240673743687659,3.2077891040791,30.3274849740753,0.728858059596765,0.374,54.2372881355932,32,59,"Pyramidal",2.92384207096701,0.922388945065177,0.167744024977082
"134",134,"Alyref",0.063211623481999,11.6047733444655,186.805193020414,0.40102355881991,0.651,23.728813559322,14,59,"Pyramidal",1.64967596285857,0.393154356224022,0
"135",135,"Amotl1",0.158576737625878,6.79782652577721,95.4201441357952,0.942718929175105,0.462,42.3728813559322,25,59,"Pyramidal",4.48996123648885,0.769193753789813,0
"136",136,"Amph",0.0388144714529438,0.328932620444135,4511.59428235249,0.909686689550791,0.96,59.3220338983051,35,59,"Pyramidal",778.771855247056,36.6627694480576,0.461329285094981
"137",137,"Anapc2",0.0491147242636773,0.776668328926548,23.50294663452,0.854562457597476,0.284,22.0338983050847,13,59,"Pyramidal",6.6675129579549,1.64505602446619,0
"138",138,"Anapc5",0.101079194153078,44.4959143151973,962.37509327162,8.56446944088178,0.5,42.3728813559322,25,59,"Pyramidal",73.7754419984318,5.29013600594382,0
"139",139,"Anapc11",0.0207141382091972,0.278993809160261,597.480297155557,0.972288342312696,0.105,45.7627118644068,27,59,"Pyramidal",148.595168583175,5.77671971131242,0
"140",140,"Angel2",0.0684088935972421,1.43051645010965,2409.25583820463,1.37016545555597,0.708,50.8474576271186,30,59,"Pyramidal",325.233781348638,28.0344887637475,0.0922658570189961
"141",141,"Angptl1",0.0506952374949517,4.87154157053659,544.892062491881,0.0514520649803261,0.561,27.1186440677966,16,59,"Pyramidal",1.47216220169594,0.245788769103357,0
"142",142,"Ank1",0.0425110370368645,8.96582832710966,2388.4486356048,0.233482481668557,0.433,20.3389830508475,12,59,"Pyramidal",16.9878811315125,0.384892351514427,0
"143",143,"Ank2",0.120425256427982,4.08423659302723,3213.77167467878,1.46995447428149,0.447,71.1864406779661,42,59,"Pyramidal",184.780486230292,16.1025729996315,3.83890185402991
"144",144,"Ank3",0.0629335445691153,2.12804272743013,7113.76435583167,1.3003120650575,0.73,79.6610169491525,47,59,"Pyramidal",392.432323959773,35.234085529066,22.6298163631431
"145",145,"Ankhd1",0.0176943237905801,0.782544503270024,3423.28818437542,1.25853444943971,0.625,45.7627118644068,27,59,"Pyramidal",308.028255788862,-5.70703311720124,0
"146",146,"Ankmy2",0.0222142758288021,0.458173116232897,144.738152811599,0.83638683779268,0.958,25.4237288135593,15,59,"Pyramidal",24.3072085161342,2.46602940585798,0
"147",147,"Ankrd12",0.0962007809928494,1.12372241682418,4538.27353511055,1.17955571648668,0.886,67.7966101694915,40,59,"Pyramidal",682.456741476311,42.2687976891791,1.22559440032937
"148",148,"Ankrd13d",0.0427561803139206,1.19763739465473,519.529526322445,0.895024178582524,0.574,23.728813559322,14,59,"Pyramidal",68.9689218276151,17.6401073337378,0
"149",149,"Ankrd17",0.0504402857490477,0.750551212274856,2498.51133049018,1.0077185646979,0.177,64.4067796610169,38,59,"Pyramidal",302.591806717341,8.12808688084652,0.887841017355623
"150",150,"Ankrd32",0.018150564523336,0.277264200005614,183.282587736885,0.829698238164407,0.867,27.1186440677966,16,59,"Pyramidal",35.889622538657,3.42683439976658,0
"151",151,"Ankrd52",0.00631939470525721,2.79497512189066,1577.3082994843,0.720272637122285,0.756,27.1186440677966,16,59,"Pyramidal",3.31330700578646,0.277438128804664,0
"152",152,"Ano3",0.0337546485661613,6.7054628377931,888.12717198561,1.80281045065963,0.14,27.1186440677966,16,59,"Pyramidal",116.539602892985,5.91350752418506,0
"153",153,"Anp32a",0.0331275639374828,0.302852442991028,179.464555346723,0.80415395421336,0.975,35.5932203389831,21,59,"Pyramidal",42.2430732667171,4.62455656961896,0
